Type,Permission,Name,Symbol,Unit,DefaultValue,UpperBound,LowerBound
String,RW,,name,,rootWave,,
Hierarchy,,Amplitude(Eo),,,,,
Float,RW,Udir Amp,Eox,V/m,0,,
Float,RW,Vdir Amp,Eoy,V/m,0,,
Float,RWSlider,Phase Diff,theta,°,0,0,360
HierarchyEnd,,,,,,,
Hierarchy,,Temporal Properties,,,,,
Float,RW,Period,T,fs,0,,
Float,RO,Frequency,mu,THz,0,,
Float,RW,Angular Frequency,w,rad/fs,0,,
HierarchyEnd,,,,,,,
Hierarchy,,Spatial Properties,,,,,
Float,RW,Period,lambda,nm,0,,
Float,RO,Frequency,f,1/nm,0,,
Float,RW,Angular Frequency,k,rad/nm,0,,
HierarchyEnd,,,,,,,
Float,RWSlider,Initial Phase,phi,°,0,0,360
Float,RWSlider,Refractive Index,n,const,1,1,5
